,City,Country,Lat,Lng,Hotel Name
0,Pascagoula,US,30.37,-88.56,
1,Wuwei,CN,37.93,102.64,
2,Bosaso,SO,11.28,49.18,
3,Puerto Ayora,EC,-0.74,-90.35,
4,Hobart,AU,-42.88,147.33,
5,Bagotville,AU,-28.98,153.42,
6,Saskylakh,RU,71.92,114.08,
7,Mount Vernon,US,40.91,-73.84,
8,Ushuaia,AR,-54.8,-68.3,
9,Coquimbo,CL,-29.95,-71.34,
10,Ilulissat,GL,69.22,-51.1,
11,Barrow,US,71.29,-156.79,
12,Athens,GR,37.98,23.72,
13,Vaini,TO,-21.2,-175.2,
14,Hambantota,LK,6.12,81.12,
15,Río Gallegos,AR,-51.62,-69.22,
16,Vostok,RU,46.49,135.88,
17,Castro,BR,-24.79,-50.01,
18,Yangcun,CN,39.36,117.06,
19,Port Alfred,ZA,-33.59,26.89,
20,Bredasdorp,ZA,-34.53,20.04,
21,Madimba,TZ,-10.4,40.33,
22,Vazhiny,RU,60.96,34.02,
23,Camacha,PT,33.08,-16.33,
24,Nikolskoye,RU,59.7,30.79,
25,Kualakapuas,ID,-3.01,114.39,
26,Chokurdakh,RU,70.63,147.92,
27,Cape Town,ZA,-33.93,18.42,
28,Sitka,US,57.05,-135.33,
29,Stepnyak,KZ,52.83,70.78,
30,Oparino,RU,59.85,48.28,
31,Yellowknife,CA,62.46,-114.35,
32,Coahuayana Viejo,MX,18.73,-103.68,
33,Talnakh,RU,69.49,88.4,
34,Punta Arenas,CL,-53.15,-70.92,
35,Sigli,ID,5.38,95.96,
36,Saint George,US,37.1,-113.58,
37,Mataura,NZ,-46.19,168.86,
38,Grand-Lahou,CI,5.14,-5.02,
39,Cabo San Lucas,MX,22.89,-109.91,
40,Alofi,NU,-19.06,-169.92,
41,Marshalltown,US,42.05,-92.91,
42,Hermanus,ZA,-34.42,19.23,
43,Rikitea,PF,-23.12,-134.97,
44,La Ronge,CA,55.1,-105.28,
45,Flin Flon,CA,54.77,-101.86,
46,Tezu,IN,27.92,96.17,
47,Bluff,NZ,-46.6,168.33,
48,Qaanaaq,GL,77.48,-69.36,
49,Mar del Plata,AR,-38.0,-57.56,
50,Bubaque,GW,11.28,-15.83,
51,Okha,RU,53.57,142.95,
52,Bodden Town,KY,19.28,-81.25,
53,Saldanha,ZA,-33.01,17.94,
54,Albany,US,42.6,-73.97,
55,Norman Wells,CA,65.28,-126.83,
56,Kaitangata,NZ,-46.28,169.85,
57,Sabang,ID,5.89,95.32,
58,Saint-Philippe,RE,-21.36,55.77,
59,Chardara,KZ,41.25,67.97,
60,Ziro,IN,27.63,93.83,
61,Champerico,GT,14.3,-91.92,
62,Nouadhibou,MR,20.93,-17.03,
63,Aitape,PG,-3.14,142.35,
64,Mana,GF,5.66,-53.78,
65,Eureka,US,40.8,-124.16,
66,Sola,VU,-13.88,167.55,
67,Port Blair,IN,11.67,92.75,
68,Ashland,US,40.82,-82.27,
69,Cockburn Town,TC,21.46,-71.14,
70,Yangi Marg`ilon,UZ,40.43,71.72,
71,Padang,ID,-0.95,100.35,
72,Jamestown,US,42.1,-79.24,
73,Atuona,PF,-9.8,-139.03,
74,Kudahuvadhoo,MV,2.67,72.89,
75,Kapaa,US,22.08,-159.32,
76,Nishihara,JP,26.18,127.76,
77,Ha Giang,VN,22.83,104.98,
78,Airai,TL,-8.93,125.41,
79,South Charleston,US,38.37,-81.7,
80,Lypova Dolyna,UA,50.56,33.8,
81,Tuktoyaktuk,CA,69.45,-133.04,
82,Taicheng,CN,38.73,113.23,
83,Tungor,RU,53.38,142.96,
84,Tura,IN,25.52,90.22,
85,Severo-Kuril'sk,RU,50.68,156.12,
86,Thompson,CA,55.74,-97.86,
87,Cayenne,GF,4.93,-52.33,
88,Butaritari,KI,3.07,172.79,
89,Urengoy,RU,65.97,78.37,
90,Udaipur,IN,24.57,73.69,
91,Tiksi,RU,71.69,128.87,
92,Sinnamary,GF,5.38,-52.95,
93,Barguzin,RU,53.62,109.62,
94,Lüderitz,,-26.65,15.16,
95,Sioux Lookout,CA,50.1,-91.92,
96,Kirakira,SB,-10.45,161.92,
97,Vardø,NO,70.37,31.11,
98,Amurzet,RU,47.7,131.1,
99,Necochea,AR,-38.55,-58.74,
100,Ubari,LY,26.59,12.78,
101,Bambous Virieux,MU,-20.34,57.76,
102,Pevek,RU,69.7,170.31,
103,Chuguyevka,RU,44.17,133.86,
104,Lethem,GY,3.38,-59.8,
105,Marystown,CA,47.17,-55.15,
